original_archive	original_path	current_path	sha256	status	reason
ARKlinux repository	archiso/	archiso/		retained	Canonical host profile; individual file hashes are generated by scripts/source-checksums.sh
ARKlinux repository	build/docker/Dockerfile	build/docker/Dockerfile		retained	Existing clean Arch build boundary; invocation corrected by canonical build script
ARKlinux repository	build/docker/entrypoint.sh	build/docker/entrypoint.sh		retained	Existing mkarchiso entrypoint; output verified by CI
ARKlinux repository	build/installer/ark-install.sh	build/installer/ark-install.sh		deprecated	Duplicate wrapper; installer consolidation deferred
ARKlinux repository	archiso/airootfs/usr/local/bin/ark-install	archiso/airootfs/usr/local/bin/ark-install		retained_with_blocker	Destructive installer; prohibited from host execution and not accepted until disposable-disk tests pass
ARKlinux repository	systemd_units/	legacy/arklinux/systemd_units/		planned_deprecation	Legacy service names do not meet required service boundary; move only after provenance-preserving migration
ARK_GENESIS_UNIFIED_FULL	arklinux/	provenance/ARK_GENESIS_UNIFIED_FULL/arklinux/		provenance_pending	Historical duplicate; archive bytes unavailable in this checkout
ARK_GENESIS_UNIFIED_FULL	runtime/	provenance/ARK_GENESIS_UNIFIED_FULL/runtime/		provenance_pending	Historical runtime source; do not execute directly
ARK_GENESIS_UNIFIED_FULL	runtime/archives/corrupt/ark-unified.zip	provenance/ARK_GENESIS_UNIFIED_FULL/runtime/archives/corrupt/ark-unified.zip		deprecated	Manifest labels archive corrupt; retain bytes and origin only
ARK_GENESIS_INCORPORATED_PATCHED.zip	/	provenance/archives/ARK_GENESIS_INCORPORATED_PATCHED.zip		provenance_pending	Original archive named by reconstruction script but bytes unavailable
ark_gleaned_project.zip	/	provenance/archives/ark_gleaned_project.zip		provenance_pending	Runtime seed archive; verify before reuse
ID_COB_Runtime_v0_1.zip	/	provenance/archives/ID_COB_Runtime_v0_1.zip		provenance_pending	Identity runtime is advisory only and has no execution authority
Tradeanalyzer	modules/tradeanalyzer/services/broker.ts	domains/trading/legacy/broker.ts		deprecated_mock	Random quotes and hard-coded account/positions
Tradeanalyzer	modules/tradeanalyzer/services/geminiService.ts	domains/trading/legacy/geminiService.ts		deprecated_mock	Random/timer/cloud-coupled behavior is not local truth or execution
ARK_GENESIS	opt/ark/runtime/api/asgi.py	runtime/api/		replace_in_place	Preserve route intent; replace success-shaped stubs and mutable evidence files
ARK_GENESIS	opt/ark/ui/operator-console/ark-api/src/index.js	legacy/operator-console/ark-api/src/index.js		deprecated_mock	Random scores, simulated execution, hard-coded policy allow, external Supabase dependency
ARK_GENESIS	opt/ark/runtime/execution_broker/	runtime/execution/		retained_for_review	Dry-run broker contracts are reusable after capability and evidence validation
DREAMER	README.md	docs/purpose/DREAMER.md		retained_as_specification	Naming/purpose seed only; not executable source

